feature,importance_mean,importance_std,val_imp_0,val_imp_1,val_imp_2,val_imp_3,val_imp_4
EXT_SOURCE_3,0.03174943044333143,0.0024173409079343284,0.03410809765781675,0.031025014213704294,0.028481162359770495,0.03492366333690411,0.03020921464846149
EXT_SOURCE_2,0.018029973110011956,0.00293746853879218,0.014574054890655108,0.022158145738174984,0.018771116940574983,0.019834278333818678,0.014812269646836018
EXT_SOURCE_1,0.003062764121538719,0.0004022008635035198,0.002725712696078353,0.0026699267299773455,0.0035988303144207645,0.0028170734594198388,0.003502277407797294
AMT_GOODS_PRICE,0.002679381604780895,0.000684372177096016,0.003985876301253133,0.002424602619667815,0.0019751362460976862,0.002423013769859428,0.0025882790870264127
AMT_CREDIT,0.0024009306309418442,0.0005735522997324891,0.003498610333176111,0.0021476867602552296,0.001871736323035833,0.002091581837316392,0.002395037900925656
DAYS_EMPLOYED,0.0010777561696557526,0.00018229763607284597,0.000962437654333459,0.0014214648372308236,0.0010748996446302561,0.0010331335568445343,0.0008968451552396894
AMT_ANNUITY,0.0005935527226168524,0.0002668345275283118,0.0008738839996997871,0.0008310325737188595,0.00018206580078983237,0.0006921257761294264,0.00038865546274635676
DAYS_ID_PUBLISH,0.00050181504890765,0.00018524714525317883,0.0008076629084622367,0.0006122023558403633,0.0004361321474886104,0.00031959037029483106,0.00033348746245220884
FLAG_WORK_PHONE,0.00046448141456523206,0.0003005928209225536,0.0009917667330445745,0.00017516178525522896,0.0006021918895593448,0.00029267610952876666,0.0002606105554382454
DAYS_LAST_PHONE_CHANGE,0.0004347470359912231,0.00010411790452742524,0.0006136877274959263,0.00044261223224473234,0.0003473916794963783,0.0004541046750284883,0.0003159388656905904
FLAG_DOCUMENT_16,0.0002471727859760797,0.00015404626278418988,0.00046854922089489826,1.3651283554683147e-05,0.0003462516975711871,0.00017617351921361823,0.00023123820864601186
ORGANIZATION_TYPE_XNA,0.00023604475962737403,5.912338878870162e-05,0.00017252252555532976,0.00034688225007351026,0.00021465147163401976,0.00020958923939706775,0.00023657831147694264
FLAG_DOCUMENT_18,0.00021514082992810657,3.072361447626343e-05,0.00023574053002595186,0.00018206936323350575,0.00019672525585967549,0.00026512060892991407,0.00019604839159148568
AMT_REQ_CREDIT_BUREAU_QRT,0.00019135588045207096,6.53238983078735e-05,0.0002185235450373746,0.00019540002687157276,6.510365526124495e-05,0.0002468025243689276,0.00023094965072123497
FLAG_DOCUMENT_3,0.00014921577704094525,8.34328187664039e-05,5.539501687912285e-06,0.00016859263941104707,0.0001269939864707581,0.00018670766469164324,0.0002582450929433655
OWN_CAR_AGE,0.00014675573822995336,0.00013494655131240064,-4.666718463675057e-05,7.61899794839982e-05,0.00021761898708294591,0.00013153610195393295,0.0003551008072656403
REGION_RATING_CLIENT_W_CITY,0.00014083698876601324,0.0003426150787876363,0.00018465243118048758,0.0005017594819465288,-0.0005105373427707338,0.0002598339427515306,0.00026847643072225313
REG_CITY_NOT_LIVE_CITY,0.00013873461371409767,0.00018868986875263753,-6.738955204388386e-05,-1.1079199335739531e-05,4.046223345866018e-05,0.0003540712610894392,0.0003776083254020124
FLAG_DOCUMENT_2,0.00011551952666084553,6.842631986702989e-05,0.00015313961321894443,-2.107185339905726e-05,0.00015016768154452187,0.00014180306416788913,0.00015355912777192948
FLAG_DOCUMENT_14,0.00010361603683461951,4.356775291744901e-05,0.00013647835958929821,6.123127915891313e-05,0.0001460530592831688,4.094316333325132e-05,0.00013337432280846606
