iter	Passed	Remaining
410	4312	933
411	4321	923
412	4331	912
413	4342	902
414	4352	891
415	4362	880
416	4372	870
417	4383	859
418	4395	849
419	4405	839
420	4416	828
421	4426	818
422	4436	807
423	4447	797
424	4458	786
425	4469	776
426	4479	765
427	4488	755
428	4497	744
429	4507	733
430	4516	723
431	4527	712
432	4537	702
433	4548	691
434	4558	681
435	4570	670
436	4579	660
437	4588	649
438	4598	638
439	4608	628
440	4620	618
441	4630	607
442	4640	597
443	4650	586
444	4661	576
445	4671	565
446	4681	555
447	4691	544
448	4701	534
449	4711	523
450	4721	512
451	4731	502
452	4742	492
453	4753	481
454	4764	471
455	4774	460
456	4784	450
457	4794	439
458	4804	429
459	4814	418
460	4825	408
461	4835	397
462	4845	387
463	4856	376
464	4869	366
465	4878	355
466	4887	345
467	4898	334
468	4908	324
469	4918	313
470	4928	303
471	4938	292
472	4949	282
473	4961	272
474	4972	261
475	4981	251
476	4992	240
477	5002	230
478	5012	219
479	5022	209
480	5033	198
481	5043	188
482	5053	177
483	5063	167
484	5074	156
485	5084	146
486	5094	135
487	5104	125
488	5114	115
489	5125	104
490	5135	94
491	5146	83
492	5157	73
493	5168	62
494	5178	52
495	5189	41
496	5198	31
497	5209	20
498	5218	10
499	5229	0
