iter	Logloss
0	0.5867595262
1	0.5036199744
2	0.4450319028
3	0.4028018723
4	0.3668618242
5	0.3426349663
6	0.3254529822
7	0.309471116
8	0.2977872302
9	0.289083932
10	0.2829397771
11	0.2773736085
12	0.2725186095
13	0.2688410242
14	0.2657703355
15	0.2635701645
16	0.2618919511
17	0.2600829081
18	0.2586713888
19	0.257628158
20	0.2567567182
21	0.2557018165
22	0.2549489996
23	0.2542111694
24	0.2536703564
25	0.2531480838
26	0.2526508559
27	0.252241819
28	0.2519162055
29	0.2516472595
30	0.2513916679
31	0.2511634942
32	0.2509545485
33	0.2506190502
34	0.2503953301
35	0.2502212321
36	0.2499719807
37	0.2498254845
38	0.2496748881
39	0.2494984727
40	0.2492641681
41	0.249117156
42	0.2489229962
43	0.2488001738
44	0.2486144791
45	0.2485008726
46	0.2484144032
47	0.2482837278
48	0.2481896466
49	0.2481072876
50	0.2479687929
51	0.2478507812
52	0.2477613731
53	0.2476901523
54	0.2475564326
55	0.2474886754
56	0.2474263605
57	0.2473630317
58	0.2472642159
59	0.2471561766
60	0.247054148
61	0.2470064905
62	0.2469270169
63	0.2468644348
64	0.2467978649
65	0.2467254141
66	0.2466746399
67	0.2466250402
68	0.2465592291
69	0.2464645235
70	0.2464416586
71	0.2463653024
72	0.2463033474
73	0.246226425
74	0.2461677637
75	0.2461407841
76	0.2461025682
77	0.2460506865
78	0.245990793
79	0.2459366639
80	0.2458575275
81	0.2457919963
82	0.2457455007
83	0.2457002756
84	0.2456473331
85	0.2455574317
86	0.2455141233
87	0.2454709798
88	0.2454306143
89	0.2453899798
90	0.2453199635
91	0.2452685087
92	0.245216708
93	0.2451681212
94	0.2451047389
95	0.2450576197
96	0.2450351076
97	0.2449879305
98	0.2449170551
99	0.2448149781
100	0.2447702961
101	0.2447299094
102	0.2446368
103	0.244573705
104	0.2445297214
105	0.2444724075
106	0.2444159514
107	0.2443688984
108	0.2443288716
109	0.2442797189
110	0.2442224685
111	0.2441780183
112	0.244117483
113	0.2440713869
114	0.2440157194
115	0.2439654776
116	0.2439463846
117	0.2439234985
118	0.2438178632
119	0.2437845571
120	0.2437348512
121	0.2436872281
122	0.2436542136
123	0.2435886228
124	0.2435560402
125	0.2435065638
126	0.2434599007
127	0.2434100245
128	0.2433564493
129	0.2433155432
130	0.2432939975
131	0.2432689674
132	0.2432078072
133	0.2431622648
134	0.2431193687
135	0.2431021547
136	0.2430708125
137	0.243024705
138	0.2429497275
139	0.2429082671
140	0.2428486938
141	0.2427937867
142	0.2427196736
143	0.2426365629
144	0.2425813831
145	0.2425618991
146	0.2425067344
147	0.2424788256
148	0.2424379876
149	0.2423619705
150	0.2422923433
151	0.2422389201
152	0.2421850706
153	0.2421076374
154	0.2420188527
155	0.2419649144
156	0.2419181735
